,0,1,2,3,4,5,6
0,店舗名,住所,経度,緯度,収容人数,ジャンル,深夜営業
1,菊松食堂,東京都立川市緑町4-5 103,139.4130118062,35.7032169882,80,居酒屋,営業していない
2,星夜の宴 新宿本店,東京都渋谷区代々木２-10-1サンセイビル２階,139.6984575491,35.6880965664,90,居酒屋,営業している
3,チョッパーチキン,東京都立川市柴崎町２‐4-3,139.409942319,35.6969198396,26,居酒屋,営業している
4,魚民 新宿東口駅前店,東京都新宿区新宿３－２７－１０武蔵野ビルＢ２Ｆ,139.7020682314,35.691132432,240,居酒屋,営業している
5,中條 赤坂見附店,東京都港区赤坂３-10-3 黛ビル B2F,139.7367247728,35.676243368,213,居酒屋,営業している
6,キチリ KICHIRI 錦糸町店,東京都墨田区江東橋２-19-1テルミナ３６階,139.8129224953,35.6962987047,178,居酒屋,営業している
7,チーズホリック 渋谷店,東京都渋谷区宇田川町33-10 J+RビルサイドJ5F   渋谷駅ハチ公口徒歩5分,139.6966576795,35.6609484644,50,居酒屋,営業している
8,個室居酒屋 壽山 新宿店,東京都新宿区新宿３-20-5 ニューサンパークビル 6F,139.7028247597,35.6929783554,210,和食,営業している
9,北海道 四谷店,東京都新宿区四谷２－１－３四谷２１３ビル２Ｆ,139.7267357746,35.6862697498,250,和食,営業していない
10,柚柚 yuyu 東銀座駅前店,東京都中央区銀座５－１４－１０矢野新ビル【地下１階】※1階がローソンのビル,139.7668353139,35.6682553499,200,居酒屋,営業していない
11,柚柚 yuyu 東銀座駅前店,東京都中央区銀座５－１４－１０矢野新ビル【地下１階】※1階がローソンのビル,139.7668353139,35.6682553499,200,居酒屋,営業していない
12,ととりや 魚鳥や 渋谷駅前店,東京都渋谷区宇田川町26-2サンルイビル3F,139.6990744598,35.6599189226,60,居酒屋,営業している
13,ととりこ TOTORIKO 新宿東口店,東京都新宿区歌舞伎町１-14-3川新ビル8F,139.7019569989,35.6943931729,150,居酒屋,営業している
14,バルザル 蒲田店,東京都大田区蒲田５-24-6 大瀧ビル1F,139.7195277326,35.5624182156,81,居酒屋,営業している
15,卓球BAR PINPON ピンポン 渋谷店,東京都渋谷区円山町7-11 梅北ビル2F,139.6944674261,35.6580503989,45,ダイニングバー・バル,営業している
16,和食 個室居酒屋 千福 荻窪店,東京都杉並区上荻１-13-3 第一小河原ビル４F,139.6177698486,35.7049125187,90,居酒屋,営業している
17,韓国料理専門店 はんあり 新大久保本店,東京都新宿区大久保２-31-16,139.7035404595,35.701707669,100,韓国料理,営業していない
18,だるま 水道橋店,東京都千代田区神田三崎町２-9-1 三崎町TSビル 2F・３F,139.7559668713,35.7008602773,250,居酒屋,営業していない
19,The Neworder Table 渋谷店,東京都渋谷区道玄坂２丁目6-17 TOHOシネマズ渋谷B1F,139.6988714505,35.6591951098,84,イタリアン・フレンチ,営業している
20,霧乃個室 清郎 品川店,東京都港区港南２-5-5港南ＯＭＴビル6階～8階,139.7435302666,35.6287336193,153,居酒屋,営業していない
21,マチダイナー,東京都町田市原町田６丁目１１－１４－２０１,139.4463794528,35.5440019276,36,イタリアン・フレンチ,営業している
22,鍋と馬肉の専門店 馬い鍋 上野店,東京都台東区上野４-8-6 プラザU４F-A,139.7737941707,35.7096258784,150,居酒屋,営業している
23,肉屋のTakumi,東京都千代田区神田三崎町２-22-18 西山興業新水道橋ビル 5F,139.7521507459,35.7023694497,140,居酒屋,営業している
24,肉バル サルー,東京都渋谷区恵比寿４-23-9ブルーメ２F,139.7155711743,35.6445416495,40,ダイニングバー・バル,営業していない
25,えこひいき 町田1番街通り店,東京都町田市原町田６－１３－１７アーバンミサワビル４Ｆ,139.4469846837,35.5438839013,180,居酒屋,営業している
26,いろり 新宿東口店,東京都新宿区歌舞伎町１-17-13 T１ビル７Ｆ,139.7014042848,35.6939765384,140,居酒屋,営業している
27,サクラカフェ SAKURA CAFE &レストラン 池袋,東京都豊島区池袋２‐３９‐１０サクラホテル池袋別館１Ｆ,139.7086093076,35.7334672818,110,各国料理,営業している
28,虎ノ門 ビストロBBQ アジアナ,東京都港区虎ノ門１-14-1 郵政福祉琴平ビルB1F,139.7493314943,35.6689606359,150,居酒屋,営業している
29,新宿ガーデンファーム 新宿東口店,東京都新宿区新宿３-18-1 しんじゅく一色ビル5F,139.7024903776,35.6921323307,80,居酒屋,営業している
30,The Meat Station ミートステーション 新宿本店,東京都新宿区歌舞伎町１-13-5 三経43ビル 2階,139.7023802873,35.6946167701,60,ダイニングバー・バル,営業している
31,星夜の宴 新宿東南口店,東京都新宿区新宿３-36-2 キリンビル３Ｆ（他社マップではなくホットペッパー地図をご参照ください。） ,139.7020043979,35.689888126,70,居酒屋,営業している
32,上海湯包小館 西銀座店,東京都中央区銀座４－１先西銀座デパート２階,139.7631554406,35.6728805643,90,居酒屋,営業していない
33,ラパウザ La Pausa 町田駅前店,東京都町田市原町田６－３－１１ユニオンスクウェア２Ｆ,139.4461047825,35.5432811681,89,イタリアン・フレンチ,営業していない
34,日本海庄や 八重洲店,東京都中央区八重洲１－９－１３八重洲駅前合同ビルB3～B1,139.7696795818,35.680465996,218,居酒屋,営業していない
35,バツマル東京 BATSU MARU TOKYO 渋谷,東京都渋谷区宇田川町３－１０フィエスタ渋谷3階,139.6987446618,35.662507789,70,焼肉・ホルモン,営業している
36,鳥道楽 蒲田店,東京都大田区蒲田５-20-1 1番街ビルC棟2階,139.717912332,35.5619687786,60,居酒屋,営業している
37,中華風居酒屋 華豊 新橋本店,東京都港区新橋４－５－１アーバン新橋ビルＢ１Ｆ,139.7553564091,35.665256214,70,居酒屋,営業していない
38,肉バル KACCHAN 赤羽,東京都北区赤羽南１-19-7 1F,139.7237662785,35.7766653182,40,居酒屋,営業していない
39,あくとり代官 鍋之進 渋谷,東京都渋谷区道玄坂１－５－２渋谷ＳＥＤＥ３Ｆ,139.6995364413,35.6580138716,86,居酒屋,営業している
40,個室割烹居酒屋 海鮮山鮮 立川店,東京都立川市錦町１ 2-16アーバンホテル本館2F,139.4162842672,35.6971916437,220,居酒屋,営業している
41,藍庵 iron 渋谷,東京都渋谷区桜丘町16-1,139.7014591194,35.6564254907,70,居酒屋,営業している
42,四十八漁場 調布駅前店,東京都調布市布田４-2-1 調布スクエアビル1F,139.5444887698,35.6516660131,94,居酒屋,営業している
43,串荘 くしそう 新宿店,東京都新宿区歌舞伎町１-17-6-3F,139.701276227,35.6943037203,80,居酒屋,営業している
44,土佐清水ワールド 新橋店,東京都港区新橋２-12-8 GEMS新橋2F,139.7548050019,35.6668790721,65,居酒屋,営業していない
45,米助 よねすけ 新宿総本店,東京都新宿区新宿３-36-13 Mビル 7F ,139.7021176965,35.6905141696,150,居酒屋,営業している
46,大人個室ダイニング GAIA ガイア 赤羽店,東京都北区赤羽１‐14‐1-6F,139.7210469561,35.7793757732,70,居酒屋,営業している
47,完全個室 初代庭鳥 八重洲店,東京都中央区日本橋３-3-14 2F,139.7711680828,35.6800599704,100,居酒屋,営業している
48,銀座ガーデンファーム 並木通り店,東京都中央区銀座３－３－１４銀座グランディア24F,139.7651469336,35.6729944936,100,居酒屋,営業している
49,鶏居酒 田町駅前ピアタ店,東京都港区芝５-34-7   田町センタービル【地下1階】 ,139.7470470442,35.6462392433,270,居酒屋,営業していない
50,貸切パーティースペース BIWACO ビワコ 六本木,東京都港区六本木３-10-10 六本木藤井ビル５F,139.7333291864,35.6634330528,80,ダイニングバー・バル,営業している
51,牛タンバル ふかざわ 浜松町 大門,東京都港区浜松町１－28－13ムーンストリート大門3F,139.7554847836,35.6570374202,70,ダイニングバー・バル,営業している
52,隠れ房 町田店,東京都町田市原町田６-１３-１７アーバンミサワビル３Ｆ ,139.4468958043,35.5438361266,137,居酒屋,営業している
53,上上品 焼肉 しゃぶしゃぶ 新宿東口店,東京都新宿区歌舞伎町１-6-6 橋本ビル B1号室,139.7025916923,35.6937677047,46,焼肉・ホルモン,営業している
54,にじゅうまる NIJYU-MARU 新宿三丁目 新宿伊勢丹前店,東京都新宿区新宿３-4-8京王フレンテ新宿三丁目５階,139.7051479765,35.6909605892,230,居酒屋,営業している
55,居酒屋 彩 さい 渋谷本店,東京都渋谷区宇田川町３０-５ＪＯＷビル３Ｆ,139.6980197864,35.6609357244,60,居酒屋,営業している
56,焼肉食べ放題 道楽 ドウラク,東京都新宿区歌舞伎町１‐27‐2ピア新宿B1F,139.7005437534,35.6951986,25,焼肉・ホルモン,営業している
57,楽一 蒲田東口駅前店,東京都大田区蒲田５-19-1 リカムビル2F,139.7177970503,35.5623140145,80,居酒屋,営業している
58,九州料理専門店 博多村 新宿店,東京都新宿区歌舞伎町１-14-3 4F,139.7019436667,35.6943931725,240,居酒屋,営業している
59,きうめ屋 池袋サンシャイン60通り店,東京都豊島区東池袋１-12-11 朝日会館６F,139.7145336862,35.7294856667,120,居酒屋,営業している
60,ガーデンレストラン オールデイダイニング,東京都港区高輪３－１３－３３Ｆシナガワグース内 （旧ホテルパシフィック東京）,139.7361111305,35.6298266315,198,イタリアン・フレンチ,営業していない
61,八王子 ぐりぐり,東京都八王子市三崎町５－１９Ｆ－Ｏｎｅフォーラム６Ｆ,139.3364340414,35.6576181613,60,居酒屋,営業している
62,赤から 立川高松店,東京都立川市高松町１-24-37,139.4216835505,35.7105874976,110,和食,営業していない
63,伝串 新時代 虎ノ門駅改札口店,東京都港区虎ノ門１-1-21新虎ノ門実業会館B2F,139.7507627072,35.6703171881,78,居酒屋,営業していない
64,2800円を超えた料金は取りません トサカモミジ 池袋店,東京都豊島区東池袋１－４－２三経ビル６Ｆ,139.7139636987,35.7303797173,180,居酒屋,営業している
65,牛鶏豚 GyuToriTon 新宿店,東京都新宿区歌舞伎町１－１２－２第58ビル3F,139.7024324977,35.6948006397,80,居酒屋,営業している
66,ちゃらりちゃらり 九段下店,東京都千代田区九段北１－２－１１エイム東京九段ビルB１,139.7521221016,35.6963470716,60,居酒屋,営業していない
67,なごみ 吉祥寺店,東京都武蔵野市吉祥寺本町１-8-2北辰吉祥寺ビル西館３階,139.5791209506,35.7040515859,80,居酒屋,営業している
68,技屋 wazaya 赤坂店,東京都港区赤坂３-14-9 4F ,139.7370248371,35.6740077944,140,居酒屋,営業していない
69,九州沖縄三昧 ナンクルナイサ きばいやんせー 品川店,東京都港区港南２-3-13 品川フロントビルB1,139.744042708,35.6291097017,170,居酒屋,営業していない
70,2200屋 ににまる 新橋店,東京都港区新橋３-21-4 4階,139.7580050763,35.6651757383,40,居酒屋,営業していない
71,fumo,東京都北区赤羽２-１６-１スズオリビル２Ｆ ,139.7230328944,35.7794727598,50,居酒屋,営業していない
72,CONA コナ 恵比寿店,東京都渋谷区恵比寿１-6-1,139.7111422468,35.6479644793,30,ダイニングバー・バル,営業している
73,やきとりスタンダード 田町店,東京都港区芝５-22-9三田苑2F,139.7463375964,35.6478268235,51,居酒屋,営業している
74,鳥炎 八重洲駅前店,東京都中央区八重洲１-7-10今井ビル7F,139.7707786424,35.6807821009,160,居酒屋,営業している
75,個室居酒屋 なまら屋 +肉 五反田店,東京都品川区西五反田１-18-1 7F,139.7229413828,35.6237022469,100,居酒屋,営業している
76,月の雫 新宿パレット店,東京都新宿区西新宿１－１－１新宿パレットビル１０Ｆ,139.6995933854,35.6925377632,250,居酒屋,営業している
77,葱や田蔵 銀座４丁目店,東京都中央区銀座４-4-2 フォースタービル７Ｆ,139.7652997247,35.6723390159,76,居酒屋,営業している
78,笑笑 品川港南口駅前店,東京都港区港南２－４－１８第２秋山ビル５Ｆ,139.7437983006,35.6287022411,110,居酒屋,営業している
79,完全個室ダイニング 田村屋,東京都新宿区西新宿７－１０－２０第一日新ビル３Ｆ,139.6986178521,35.694048678,140,居酒屋,営業している
80,土間土間 渋谷道玄坂店,東京都渋谷区道玄坂２-29-8道玄坂センタービル8F,139.6978948642,35.6592609096,116,居酒屋,営業している
81,やきとりセンター 八王子北口店,東京都八王子市東町10-4 HKビル6F,139.338574671,35.6581498246,158,居酒屋,営業している
82,HONOGARDEN,東京都港区南青山２-11-14 青山コシビル３F,139.7210290758,35.6714659865,39,居酒屋,営業していない
83,居酒屋 壱岐 新宿東口店,東京都新宿区新宿３-19-4 MLJ新宿ビル9F-A,139.7026625589,35.692787817,203,居酒屋,営業している
84,権八 渋谷店,東京都渋谷区円山町3-6 Eスペースタワー14F,139.6955368013,35.6575110437,282,創作料理,営業している
85,神南軒 渋谷,東京都渋谷区神南１-20-5Navi Shibuya9F,139.7001751255,35.6617690214,198,ダイニングバー・バル,営業していない
86,燻製工房&ダイニング GAGA,東京都台東区上野２-1-9K-PLAZA 9F,139.7729126351,35.7082304564,36,ダイニングバー・バル,営業している
87,かっこ 池袋西口公園前店,東京都豊島区西池袋１-10-8サン・グロービル４F,139.7087105642,35.729636605,107,居酒屋,営業している
88,個室で味わう彩り和食 和が家 東京駅八重洲店,東京都中央区八重洲１-5-11 梓沢ビル1F・3F,139.7712682952,35.6814770358,120,居酒屋,営業している
89,有楽町 個室バル リブレット,東京都千代田区有楽町１-2-9 TSビル3F,139.7603145746,35.6727841103,80,ダイニングバー・バル,営業していない
